Sample,Sample protolith type,U-Pb data? (Yes/No),Used in MDS?,Lu-Hf data? (Yes/No),Country,Region,Domain,Group/Strat unit,Lithology,Longitude,Latitude,Location method,Analytical method,Mineral,Reference,DOI URL,age,ageerr,
DA13-074,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Anaboriana-Manampotsy,,Granite,49.07633333,-18.82272222,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,821,11,
S?355M,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,75.75972222,9.325,,,zircon,"Ghosh et al., 2004",,526,2,
S?318B,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.89888889,9.13,,,zircon,"Ghosh et al., 2004",,526,3,
S?340,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.83333333,9.268055556,,,zircon,"Ghosh et al., 2004",,526,1,
DA14-133,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Ikalamavony Domain,Dabolava,Granite,45.87266667,-20.54955556,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,824,23,
DA13-049,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Imorona-Itsindro,Granite,47.14555556,-20.38102778,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,827,16,
DA13-029,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Ikalamavony Domain,Ikalamavony Group,Granite,46.72036111,-21.29636111,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,828,14,
DA13-077,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Anaboriana-Manampotsy,,Granite gneiss,48.43141667,-18.90011111,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,837,15,
E13.07,Magmatic,No,,Yes,Africa,Ethiopia,,,,35.625,9.16565,,,,"Blades, et al., 2015, PR-270",,841,8,
WB37,Magmatic,Yes,No,Yes,Madagascar,Madagascar - Antongil-Masora,Masora Domain,,Orthogneiss,48.85033333,-19.91838889,Reported,,Zircon,BGS et al. 2008/Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,843,15,
NM16,Magmatic,No,,Yes,Africa,Israel,,,,34.91490613,29.59355094,,,,"Morag, et al., 2011, PRECAMB-186",,844,7,
DA13-012,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Betsiboka Suite,Granodiorite,47.29147222,-20.37125,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,849,17,
P170,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Porphyroclastic garnet-bearing felsic orthogneiss,35.38758725,-10.43798144,,,zircon,Thomas et al. 2016,,1083,6,
ASM496C,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Quartz-feldspar-biotite orthogneiss,34.36967868,-9.504718411,,,zircon,Thomas et al. 2016,,1435,5,
P204,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Pyroxene-bearing felsic orthogneiss,35.00021818,-10.00754538,,,zircon,Thomas et al. 2016,,1796,44,
ASM573,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Biotite-bearing granitic orthogneiss,33.4916151,-9.52400637,,,zircon,Thomas et al. 2016,,1859,16,
ASM590,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Biotite-bearing granitic orthogneiss,33.4741106,-9.581924554,,,zircon,Thomas et al. 2016,,1871,8,
ASM271,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Syenite,33.26431282,-8.169509419,,,zircon,Thomas et al. 2016,,1896,8,
AMB364,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Coarse-grained diorite,33.06010866,-8.418267919,,,zircon,Thomas et al. 2016,,1919,20,
ASM470,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Migmatitic biotite-bearing orthogneiss,33.79465413,-8.307840172,,,zircon,Thomas et al. 2016,,1929,15,
P032,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Hornblende- and pyroxene-bearing gneiss,35.33654398,-10.45150824,,,zircon,Thomas et al. 2016,,1976,18,
RK225,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Anaboriana-Manampotsy,,Migmatitic Kfs-porphyroclastic aph-bt granitic orthogneiss,48.1746,-17.7401,Reported,SHRIMP/ICP-MS,Zircon,BGS et al. 2008/Armistead et al. 2017,NA,2493,9,
PEJP435,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Betsiboka Suite,Coarse-grained bt-bearing charnockitic tonalite,48.2775,-18.6938,Reported,SHRIMP/ICP-MS,Zircon,BGS et al. 2008/Armistead et al. 2017,NA,2512,17,
S?196A,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,78.10166667,11.12916667,,,zircon,"Ghosh et al., 2004",,541,3,
T?4,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.88583333,9.114166667,,,zircon,"Ghosh et al., 2004",,546,29,
BT06214,Magmatic,Yes,No,Yes,Madagascar,Madagascar - Antongil-Masora,Antongil Domain, ,Granodiorite,49.7676,-15.4786,Reported,SHRIMP/ICP-MS,Zircon,Schofield et al. 2010/Armistead et al. 2017,http://dx.doi.org/10.1016/j.precamres.2010.07.006,2528,3,
S318A,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.89888889,9.13,,,zircon,"Ghosh et al., 2004",,548,2,
WB83,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Masindray tonalite,49.98215327,-15.14095236,,,zircon,Bauer et al. 2011,,2355,11,2
BT30167,Magmatic,Yes,,Yes,Madagascar,Madagascar - Antongil-Masora,A/M,,Granitic augen gneiss,49.1403,-17.3802,,,zircon,Schofield et al. 2010,,2531,16,2
BT/06/2/14,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Granodiorite,49.7676,-15.4786,,,zircon,BGS et al. 2008,,2528,3,2
DS30529,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,qtz+bt+ms+ schist,49.5886,-16.9249,,,zircon,BGS et al. 2008,,2511,10,2
DS30530,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,qtz+bt+ms+ schist,49.5886,-16.9249,,,zircon,BGS et al. 2008,,2522,11,2
PP579,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Granitogneiss,48.327,-20.0846,,,zircon,BGS et al. 2008,,3233,7,2
PP579,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Granitogneiss,48.327,-20.0846,,,zircon,BGS et al. 2008,,3205,14,2
PP579,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Granitogneiss,48.327,-20.0846,,,zircon,BGS et al. 2008,,3105,8,2
