Sample,Spot name,Collated,CoreRim,Sample protolith type,Country,Region,Region2,Domain,Lithology,Reference,Ref2,long,lat,age76,age76_2s,age638,age638_2s,age735,age735_2s,,
BDW197,BDW 197 37,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2497,17,2462,49,,,,99
BDW197,BDW 197 38,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2349,17,2107,45,,,,89
BDW197,BDW 197 39,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2234,17,2270,45,,,,102
BDW197,BDW 197 40,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2271,31,2086,89,,,,91
BDW197,BDW 197 41,2,inherited,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1780,18,1708,35,,,,96
BDW197,BDW 197 42,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1807,18,1859,40,,,,103
BDW197,BDW 197 43,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1921,18,1936,35,,,,101
BDW197,BDW 197 44,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2405,17,2277,42,,,,94
BDW197,BDW 197 45,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2034,18,2010,37,,,,99
BDW197,BDW 197 46,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1808,18,1827,33,,,,101
BDW197,BDW 197 47,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1784,18,1690,35,,,,94
BDW197,BDW 197 48,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1765,18,1634,33,,,,92
BDW197,BDW 197 49,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1790,18,1690,31,,,,94
